GAME_ID,ABS_TIME,gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,ABS_TIME
21400890.0,1387.0,0021400890,233,PT00M53.90S,2,1610612747,LAL,203903,Clarkson,J. Clarkson,12,266,27,Missed,1,,,0,v,MISS Clarkson 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,217,1386.1
21400890.0,1400.0,0021400890,236,PT00M40.90S,2,1610612747,LAL,201961,Ellington,W. Ellington,113,132,17,Missed,1,,,0,v,MISS Ellington 17' Jump Shot,Missed Shot,Jump Shot,1,0,221,1399.1
21400890.0,1414.0,0021400890,238,PT00M26.60S,2,1610612766,CHA,2744,Jefferson,A. Jefferson,-152,53,16,Made,1,50,48,98,h,Jefferson 16' Jump Shot (13 PTS) (Mo. Williams 4 AST),Made Shot,Jump Shot,1,0,223,1413.4
21400890.0,1435.0,0021400890,239,PT00M05.60S,2,1610612747,LAL,203903,Clarkson,J. Clarkson,24,77,8,Made,1,50,50,100,v,Clarkson 8' Floating Jump Shot (11 PTS),Made Shot,Floating Jump shot,1,0,224,1434.4
21400890.0,1439.0,0021400890,240,PT00M01.00S,2,1610612766,CHA,201945,Henderson,G. Henderson,-163,269,31,Missed,1,,,0,h,MISS Henderson 31' 3PT Jump Shot,Missed Shot,Jump Shot,1,0,225,1439.0
21400890.0,1454.0,0021400890,245,PT11M46.00S,3,1610612766,CHA,203469,Zeller,C. Zeller,0,1,0,Made,1,52,50,102,h,Zeller Driving Dunk (7 PTS) (Mo. Williams 5 AST),Made Shot,Driving Dunk Shot,1,0,229,1454.0
21400890.0,1481.0,0021400890,246,PT11M19.00S,3,1610612747,LAL,203903,Clarkson,J. Clarkson,12,0,1,Missed,1,,,0,v,MISS Clarkson 1' Layup,Missed Shot,Layup Shot,1,0,230,1481.0
21400890.0,1487.0,0021400890,248,PT11M13.00S,3,1610612766,CHA,2590,Williams,M. Williams,1,48,5,Missed,1,,,0,h,MISS Mo. Williams 5' Floating Jump Shot,Missed Shot,Floating Jump shot,1,0,232,1487.0
21400890.0,1489.0,0021400890,249,PT11M11.00S,3,1610612766,CHA,203077,Kidd-Gilchrist,M. Kidd-Gilchrist,13,3,1,Missed,1,,,0,h,MISS Kidd-Gilchrist 1' Layup,Missed Shot,Layup Shot,1,0,234,1489.0
21400890.0,1518.0,0021400890,257,PT10M42.00S,3,1610612766,CHA,201945,Henderson,G. Henderson,-51,154,16,Missed,1,,,0,h,MISS Henderson 16' Jump Shot,Missed Shot,Jump Shot,1,0,239,1518.0
21400890.0,1543.0,0021400890,260,PT10M17.00S,3,1610612766,CHA,203077,Kidd-Gilchrist,M. Kidd-Gilchrist,-5,7,1,Made,1,54,52,106,h,Kidd-Gilchrist 1' Layup (8 PTS) (Mo. Williams 6 AST),Made Shot,Layup Shot,1,0,243,1543.0
21400890.0,1568.0,0021400890,261,PT09M52.00S,3,1610612747,LAL,203527,Kelly,R. Kelly,121,129,18,Missed,1,,,0,v,MISS Kelly 18' Jump Shot,Missed Shot,Jump Shot,1,0,244,1568.0
21400890.0,1581.0,0021400890,263,PT09M39.00S,3,1610612766,CHA,203469,Zeller,C. Zeller,99,151,18,Missed,1,,,0,h,MISS Zeller 18' Jump Shot,Missed Shot,Jump Shot,1,0,246,1581.0
21400890.0,1593.0,0021400890,265,PT09M27.00S,3,1610612747,LAL,203903,Clarkson,J. Clarkson,6,203,20,Missed,1,,,0,v,MISS Clarkson 20' Jump Shot,Missed Shot,Jump Shot,1,0,248,1593.0
21400890.0,1607.0,0021400890,267,PT09M13.00S,3,1610612766,CHA,2590,Williams,M. Williams,2,272,27,Made,1,57,52,109,h,Mo. Williams 27' 3PT Jump Shot (10 PTS) (Henderson 5 AST),Made Shot,Jump Shot,1,0,250,1607.0
21400890.0,1631.0,0021400890,268,PT08M49.00S,3,1610612747,LAL,203135,Sacre,R. Sacre,-130,26,13,Missed,1,,,0,v,MISS Sacre 13' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,0,251,1631.0
21400890.0,1638.0,0021400890,270,PT08M42.00S,3,1610612766,CHA,201945,Henderson,G. Henderson,10,3,1,Made,1,59,52,111,h,Henderson 1' Layup (9 PTS) (Mo. Williams 7 AST),Made Shot,Layup Shot,1,0,253,1638.0
,,0021400890,277,PT08M16.00S,3,1610612766,CHA,2590,Williams,M. Williams,111,149,19,Missed,1,,,0,h,MISS Mo. Williams 19' Jump Shot,Missed Shot,Jump Shot,1,0,258,1664.0
,,0021400890,279,PT08M08.00S,3,1610612747,LAL,201961,Ellington,W. Ellington,152,64,16,Missed,1,,,0,v,MISS Ellington 16' Jump Shot,Missed Shot,Jump Shot,1,0,260,1672.0
,,0021400890,281,PT07M57.00S,3,1610612766,CHA,201945,Henderson,G. Henderson,0,1,0,Made,1,61,53,114,h,Henderson Dunk (11 PTS) (Mo. Williams 8 AST),Made Shot,Dunk Shot,1,0,262,1683.0
,,0021400890,283,PT07M39.00S,3,1610612766,CHA,203469,Zeller,C. Zeller,12,7,1,Made,1,63,53,116,h,Zeller 1' Layup (9 PTS),Made Shot,Layup Shot,1,0,265,1701.0
,,0021400890,297,PT07M08.00S,3,1610612766,CHA,201945,Henderson,G. Henderson,2,22,2,Made,1,66,55,121,h,Henderson 2' Driving Layup (13 PTS),Made Shot,Driving Layup Shot,1,0,273,1732.0
,,0021400890,298,PT06M44.00S,3,1610612747,LAL,201961,Ellington,W. Ellington,17,14,2,Missed,1,,,0,v,MISS Ellington 2' Driving Layup,Missed Shot,Driving Layup Shot,1,0,274,1756.0
,,0021400890,301,PT06M21.00S,3,1610612747,LAL,203903,Clarkson,J. Clarkson,-8,195,20,Missed,1,,,0,v,MISS Clarkson 20' Jump Shot,Missed Shot,Jump Shot,1,0,277,1779.0
,,0021400890,303,PT06M04.00S,3,1610612766,CHA,203469,Zeller,C. Zeller,-4,200,20,Missed,1,,,0,h,MISS Zeller 20' Jump Shot,Missed Shot,Jump Shot,1,0,279,1796.0
,,0021400890,305,PT05M58.00S,3,1610612747,LAL,2430,Boozer,C. Boozer,0,1,0,Made,1,66,57,123,v,Boozer Dunk (13 PTS) (Kelly 4 AST),Made Shot,Dunk Shot,1,0,281,1802.0
,,0021400890,306,PT05M33.00S,3,1610612766,CHA,203077,Kidd-Gilchrist,M. Kidd-Gilchrist,-5,31,3,Missed,1,,,0,h,MISS Kidd-Gilchrist 3' Jump Shot,Missed Shot,Jump Shot,1,0,282,1827.0
,,0021400890,308,PT05M18.00S,3,1610612747,LAL,203903,Clarkson,J. Clarkson,-62,25,7,Made,1,66,59,125,v,Clarkson 7' Turnaround Hook Shot (13 PTS) (Boozer 1 AST),Made Shot,Turnaround Hook Shot,1,0,285,1842.0
,,0021400890,313,PT05M01.00S,3,1610612766,CHA,2590,Williams,M. Williams,-111,194,22,Missed,1,,,0,h,MISS Mo. Williams 22' Jump Shot,Missed Shot,Jump Shot,1,0,289,1859.0
